Nodes	102
0	0.000	0.000	0.000	0.000	0.000	0.100	0
1	-3.610	-3.610	0.000	5.105	225.000	0.100	0
2	-2.029	-4.898	0.000	5.301	247.500	0.100	0
3	0.000	-5.498	0.000	5.498	270.000	0.100	0
4	2.179	-5.261	0.000	5.694	292.500	0.100	0
5	4.165	-4.165	0.000	5.890	315.000	0.100	0
6	5.624	-2.329	0.000	6.087	337.500	0.100	0
7	6.283	0.000	0.000	6.283	0.000	0.100	0
8	5.986	2.480	0.000	6.480	22.500	0.100	0
9	4.721	4.721	0.000	6.676	45.000	0.100	0
10	2.630	6.349	0.000	6.872	67.500	0.100	0
11	-0.000	7.069	0.000	7.069	90.000	0.100	0
12	-2.780	6.712	0.000	7.265	112.500	0.100	0
13	-5.276	5.276	0.000	7.461	135.000	0.100	0
14	-7.075	2.930	0.000	7.658	157.500	0.100	0
15	-7.854	-0.000	0.000	7.854	180.000	0.100	0
16	-7.438	-3.081	0.000	8.050	202.500	0.100	0
17	-5.831	-5.831	0.000	8.247	225.000	0.100	0
18	-3.231	-7.800	0.000	8.443	247.500	0.100	0
19	0.000	-8.639	0.000	8.639	270.000	0.100	0
20	3.381	-8.163	0.000	8.836	292.500	0.100	0
21	6.387	-6.387	0.000	9.032	315.000	0.100	0
22	8.526	-3.532	0.000	9.228	337.500	0.100	0
23	9.425	0.000	0.000	9.425	0.000	0.100	0
24	8.889	3.682	0.000	9.621	22.500	0.100	0
25	6.942	6.942	0.000	9.817	45.000	0.100	0
26	3.832	9.252	0.000	10.014	67.500	0.100	0
27	0.000	10.210	0.000	10.210	90.000	0.100	0
28	-3.982	9.614	0.000	10.407	112.500	0.100	0
29	-7.497	7.497	0.000	10.603	135.000	0.100	0
30	-9.977	4.133	0.000	10.799	157.500	0.100	0
31	-10.996	0.000	0.000	10.996	180.000	0.100	0
32	-10.340	-4.283	0.000	11.192	202.500	0.100	0
33	-8.053	-8.053	0.000	11.388	225.000	0.100	0
34	-4.433	-10.703	0.000	11.585	247.500	0.100	0
35	-0.000	-11.781	0.000	11.781	270.000	0.100	0
36	4.584	-11.066	0.000	11.977	292.500	0.100	0
37	8.608	-8.608	0.000	12.174	315.000	0.100	0
38	11.428	-4.734	0.000	12.370	337.500	0.100	0
39	12.566	-0.000	0.000	12.566	0.000	0.100	0
40	11.791	4.884	0.000	12.763	22.500	0.100	0
41	9.163	9.163	0.000	12.959	45.000	0.100	0
42	5.034	12.154	0.000	13.155	67.500	0.100	0
43	0.000	13.352	0.000	13.352	90.000	0.100	0
44	-5.185	12.517	0.000	13.548	112.500	0.100	0
45	-9.719	9.719	0.000	13.744	135.000	0.100	0
46	-12.880	5.335	0.000	13.941	157.500	0.100	0
47	-14.137	0.000	0.000	14.137	180.000	0.100	0
48	-13.242	-5.485	0.000	14.334	202.500	0.100	0
49	-10.274	-10.274	0.000	14.530	225.000	0.100	0
50	-5.635	-13.605	0.000	14.726	247.500	0.100	0
51	-0.000	-14.923	0.000	14.923	270.000	0.100	0
52	5.786	-13.968	0.000	15.119	292.500	0.100	0
53	10.830	-10.830	0.000	15.315	315.000	0.100	0
54	14.331	-5.936	0.000	15.512	337.500	0.100	0
55	15.708	-0.000	0.000	15.708	0.000	0.100	0
56	14.694	6.086	0.000	15.904	22.500	0.100	0
57	11.385	11.385	0.000	16.101	45.000	0.100	0
58	6.237	15.056	0.000	16.297	67.500	0.100	0
59	0.000	16.493	0.000	16.493	90.000	0.100	0
60	-6.387	15.419	0.000	16.690	112.500	0.100	0
61	-11.940	11.940	0.000	16.886	135.000	0.100	0
62	-15.782	6.537	0.000	17.082	157.500	0.100	0
63	-17.279	0.000	0.000	17.279	180.000	0.100	0
64	-16.145	-6.687	0.000	17.475	202.500	0.100	0
65	-12.496	-12.496	0.000	17.671	225.000	0.100	0
66	-6.838	-16.508	0.000	17.868	247.500	0.100	0
67	-0.000	-18.064	0.000	18.064	270.000	0.100	0
68	25.000	0.000	0.000	25.000	0.000	0.100	0
69	22.034	9.127	0.000	25.000	22.500	0.100	0
70	20.225	14.695	0.000	25.000	36.000	0.100	0
71	17.022	17.022	0.000	25.000	45.000	0.100	0
72	9.357	22.591	0.000	25.000	67.500	0.100	0
73	7.725	23.776	0.000	25.000	72.000	0.100	0
74	0.000	23.776	0.000	25.000	90.000	0.100	0
75	-7.725	23.776	0.000	25.000	108.000	0.100	0
76	-9.357	22.591	0.000	25.000	112.500	0.100	0
77	-17.022	17.022	0.000	25.000	135.000	0.100	0
78	-20.225	14.695	0.000	25.000	144.000	0.100	0
79	-22.034	9.127	0.000	25.000	157.500	0.100	0
80	-25.000	0.000	0.000	25.000	180.000	0.100	0
81	-22.034	-9.127	0.000	25.000	202.500	0.100	0
82	-20.225	-14.695	0.000	25.000	216.000	0.100	0
83	-17.022	-17.022	0.000	25.000	225.000	0.100	0
84	-9.357	-22.591	0.000	25.000	247.500	0.100	0
85	-7.725	-23.776	0.000	25.000	252.000	0.100	0
86	-0.000	-23.776	0.000	25.000	270.000	0.100	0
87	7.725	-23.776	0.000	25.000	288.000	0.100	0
88	9.357	-22.591	0.000	25.000	292.500	0.100	0
89	17.022	-17.022	0.000	25.000	315.000	0.100	0
90	20.225	-14.695	0.000	25.000	324.000	0.100	0
91	22.034	-9.127	0.000	25.000	337.500	0.100	0
92	33.287	10.816	0.000	35.000	18.000	0.100	0
93	0.000	35.000	0.000	35.000	90.000	0.100	0
94	-33.287	10.816	0.000	35.000	162.000	0.100	0
95	-20.572	-28.316	0.000	35.000	234.000	0.100	0
